
> ke-wedding-website@1.0.0 dev
> node "./node_modules/next/dist/bin/next" dev --hostname 127.0.0.1 --port 3000

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://127.0.0.1:3000
- Network:       http://127.0.0.1:3000
- Environments: .env.local

✓ Starting...
 GET /api/wedding-image?name=En+pic+7.jpg&v=1772201115507.059 200 in 80ms (compile: 13ms, render: 67ms)
 GET /api/wedding-image?name=En+pic+6.jpg&v=1772200496146.6074 200 in 104ms (compile: 9ms, render: 95ms)
 GET /wedding-party 200 in 88ms (compile: 49ms, render: 39ms)
 GET / 200 in 31ms (compile: 5ms, render: 25ms)
 GET /api/wedding-image?name=name+pic.png&v=1772624863949.0823 200 in 25ms (compile: 10ms, render: 15ms)
 GET /api/wedding-image?name=Skyline+church.jpg&v=1772389924431.0286 200 in 28ms (compile: 15ms, render: 13ms)
 GET /api/wedding-image?name=couple+picture.jpg&v=1772388681292.4543 200 in 50ms (compile: 4ms, render: 46ms)
✓ Compiled in 518ms
✓ Compiled in 65ms
✓ Compiled in 97ms
 GET /meet-the-couple 200 in 1079ms (compile: 348ms, render: 731ms)
 GET /wedding-party 200 in 174ms (compile: 115ms, render: 59ms)
 GET /rsvp 200 in 186ms (compile: 135ms, render: 51ms)
 GET / 200 in 254ms (compile: 195ms, render: 59ms)
 GET /api/wedding-image?name=name+pic.png&v=1772624863949.0823 200 in 60ms (compile: 6ms, render: 54ms)
 GET /api/wedding-image?name=Skyline+church.jpg&v=1772389924431.0286 200 in 74ms (compile: 12ms, render: 62ms)
 GET /api/wedding-image?name=couple+picture.jpg&v=1772388681292.4543 200 in 164ms (compile: 5ms, render: 159ms)
✓ Compiled in 64ms
 GET / 200 in 259ms (compile: 145ms, render: 114ms)
 GET / 200 in 134ms (compile: 6ms, render: 128ms)
 GET / 200 in 132ms (compile: 5ms, render: 127ms)
 GET / 200 in 132ms (compile: 6ms, render: 126ms)
 GET / 200 in 100ms (compile: 4ms, render: 96ms)
 GET / 200 in 48ms (compile: 5ms, render: 43ms)
 GET / 200 in 293ms (compile: 134ms, render: 159ms)
 GET / 200 in 130ms (compile: 8ms, render: 122ms)
 GET / 200 in 125ms (compile: 6ms, render: 120ms)
 GET / 200 in 139ms (compile: 5ms, render: 133ms)
 GET / 200 in 100ms (compile: 4ms, render: 96ms)
 GET / 200 in 58ms (compile: 5ms, render: 52ms)
 GET / 200 in 225ms (compile: 111ms, render: 113ms)
 GET / 200 in 68ms (compile: 4ms, render: 64ms)
 GET / 200 in 92ms (compile: 3ms, render: 89ms)
 GET / 200 in 99ms (compile: 4ms, render: 94ms)
 GET / 200 in 72ms (compile: 3ms, render: 69ms)
 GET / 200 in 39ms (compile: 4ms, render: 36ms)
 GET / 200 in 194ms (compile: 3ms, render: 191ms)
 GET /api/wedding-image?name=logo.png 200 in 22ms (compile: 4ms, render: 18ms)
 GET /api/wedding-image?name=name+pic.png&v=1772624863949.0823 200 in 15ms (compile: 3ms, render: 12ms)
 GET /api/wedding-image?name=couple+picture.jpg&v=1772388681292.4543 200 in 43ms (compile: 3ms, render: 39ms)
 GET /api/wedding-image?name=logo.png&v=1772389159594.0342 200 in 16ms (compile: 3ms, render: 12ms)
 GET /api/wedding-image?name=Skyline+church.jpg&v=1772389924431.0286 200 in 17ms (compile: 7ms, render: 10ms)
 GET /photos 200 in 153ms (compile: 111ms, render: 42ms)
 GET /api/wedding-image?name=En+pic+1.jpg&v=1772200491261.471 200 in 33ms (compile: 3ms, render: 30ms)
 GET /api/wedding-image?name=En+pic+2.jpg&v=1772200495122.1804 200 in 44ms (compile: 7ms, render: 38ms)
 GET /api/wedding-image?name=En+pic+7.jpg&v=1772201115507.059 200 in 63ms (compile: 5ms, render: 59ms)
 GET /api/wedding-image?name=En+pic+3.jpg&v=1772200491993.6292 200 in 62ms (compile: 3ms, render: 59ms)
 GET /api/wedding-image?name=En+pic+4.jpg&v=1772200491312.6526 200 in 75ms (compile: 5ms, render: 70ms)
 GET /api/wedding-image?name=En+pic+5.jpg&v=1772200496249.2603 200 in 90ms (compile: 10ms, render: 80ms)
 GET /api/wedding-image?name=En+pic+6.jpg&v=1772200496146.6074 200 in 144ms (compile: 14ms, render: 130ms)
 GET /meet-the-couple 200 in 136ms (compile: 97ms, render: 39ms)
 GET /wedding-party 200 in 137ms (compile: 91ms, render: 46ms)
 GET /qa 200 in 146ms (compile: 105ms, render: 41ms)
 GET /rsvp 200 in 176ms (compile: 134ms, render: 42ms)
 GET /meet-the-couple 200 in 25ms (compile: 4ms, render: 21ms)
 GET / 200 in 25ms (compile: 3ms, render: 23ms)
 GET /api/wedding-image?name=name+pic.png&v=1772624863949.0823 200 in 13ms (compile: 3ms, render: 10ms)
 GET /api/wedding-image?name=Skyline+church.jpg&v=1772389924431.0286 200 in 13ms (compile: 4ms, render: 9ms)
 GET /api/wedding-image?name=couple+picture.jpg&v=1772388681292.4543 200 in 50ms (compile: 4ms, render: 46ms)
